"OTUID"	"CR1.T0_S24_L001"	"CR2.T0.KDH_S64_L001"	"CR2.T0_S23_L001"	"CR3.T0_S22_L001"	"CR4.T0_S21_L001"	"Taxon"	"Confidence"
"OTU_3538"	5	11	0	11	23	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae;D_5__Sphingobium"	0.98562253515155
"OTU_354"	0	8	0	1	2	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ia"	0.933198992405113
"OTU_3542"	6	11	0	6	14	"D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Pseudohongiellaceae;D_5__Pseudohongiella"	0.986189055883587
"OTU_3543"	8	4	0	11	9	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia"	0.988318709617233
"OTU_3544"	3	4	0	4	8	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae;D_5__Sphingobium"	0.983451947468473
"OTU_3545"	1	11	0	11	23	"D_0__Bacteria;D_1__Marinimicrobia (SAR406 clade)"	0.999778869134863
"OTU_3547"	2	3	0	1	6	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast"	0.999839809230342
"OTU_355"	0	2	0	0	2	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae"	0.999759187654308
"OTU_3551"	6	4	0	19	6	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast"	0.999998664772809
"OTU_3552"	3	4	0	5	3	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast"	0.999876932019925
"OTU_3553"	5	3	0	65	17	"D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Verrucomicrobiales;D_4__DEV007"	0.997999519537258
"OTU_3558"	2	12	0	5	6	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__Actibacter"	0.98253933427419
"OTU_3559"	4	6	0	10	13	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae;D_5__Marivivens;D_6__Ruegeria sp."	0.933984466450363
"OTU_356"	28	86	0	65	87	"D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia;D_3__Microtrichales;D_4__Microtrichaceae;D_5__Sva0996 marine group;D_6__uncultured marine bacterium"	0.928269743643296
"OTU_3564"	3	10	0	62	21	"D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria"	0.989496779789168
"OTU_3565"	12	15	0	3	13	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ib"	0.976504133018836
"OTU_3569"	8	28	0	103	63	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast"	0.999998762296307
"OTU_357"	0	5	0	4	2	"D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia;D_3__Actinomarinales;D_4__Actinomarinaceae;D_5__Candidatus Actinomarina"	0.993878267698447
"OTU_3571"	10	14	0	9	10	"D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Opitutales;D_4__Puniceicoccaceae;D_5__MB11C04 marine group;D_6__uncultured Puniceicoccaceae bacterium"	0.818367628384479
"OTU_3573"	10	18	0	14	12	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__uncultured"	0.999634383098571
"OTU_3575"	1	0	0	0	0	"D_0__Bacteria;D_1__Margulisbacteria;D_2__uncultured bacterium;D_3__uncultured bacterium;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium"	0.809200032633111
"OTU_3576"	2	0	0	4	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae"	0.999912402441487
"OTU_3577"	6	15	0	9	19	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__NS7 marine group"	0.999608384992397
"OTU_3579"	0	1	0	0	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ib"	0.861910640563238
"OTU_358"	20	41	0	43	52	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Synechococcales;D_4__Cyanobiaceae;D_5__Prochlorococcus MIT9313"	0.81837035392812
"OTU_3580"	0	1	0	0	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ia"	0.943964367862056
"OTU_3581"	10	21	0	0	2	"D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Cellvibrionales;D_4__Halieaceae;D_5__OM60(NOR5) clade;D_6__uncultured Haliea sp."	0.969816112020077
"OTU_3583"	3	41	0	0	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Alteromonadales;D_4__Alteromonadaceae;D_5__uncultured;D_6__uncultured marine microorganism"	0.997589441591756
"OTU_3585"	4	10	0	17	12	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__uncultured;D_5__uncultured Bacteroidetes bacterium;D_6__uncultured Bacteroidetes bacterium"	0.860166709413013
"OTU_3587"	1	7	0	13	12	"D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Halomonadaceae;D_5__Halomonas"	0.995892938949309
"OTU_3589"	13	25	0	15	19	"D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__SAR86 clade"	0.99943650921914
"OTU_3590"	7	12	0	10	9	"D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__PB19"	0.999658787528427
"OTU_3591"	4	3	0	4	4	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Puniceispirillales;D_4__SAR116 clade;D_5__metagenome;D_6__metagenome"	0.999998991857037
"OTU_3592"	9	18	0	2	3	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Crocinitomicaceae;D_5__Fluviicola"	0.99999668672107
"OTU_3593"	2	4	0	2	5	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade III;D_5__alpha proteobacterium HIMB114;D_6__alpha proteobacterium HIMB114"	0.970334611467823
"OTU_3594"	6	17	0	10	16	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ib"	0.965636543308374
"OTU_3597"	2	0	0	12	5	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast"	0.999997087283387
"OTU_3599"	5	7	0	7	2	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Synechococcales;D_4__Cyanobiaceae"	0.995363642040621
"OTU_36"	0	3	0	0	1	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Synechococcales;D_4__Cyanobiaceae;D_5__Prochlorococcus MIT9313"	0.868139307786312
"OTU_360"	5	5	0	1	1	"D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia;D_3__Actinomarinales;D_4__Actinomarinaceae;D_5__Candidatus Actinomarina"	0.999823891631529
"OTU_3601"	6	9	0	2	8	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae;D_5__Sphingobium"	0.992381985425433
"OTU_3603"	0	0	0	2	0	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast"	0.999797322930003
"OTU_3606"	11	30	0	9	1	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast;D_4__Chaetoceros simplex;D_5__Chaetoceros simplex;D_6__Chaetoceros simplex"	0.961532416634416
"OTU_3609"	7	20	0	0	1	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__Formosa;D_6__uncultured Flavobacterium sp."	0.941205725230077
"OTU_361"	0	2	0	0	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ia"	0.943571393770654
"OTU_3611"	0	2	0	0	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Thiotrichales;D_4__Thiotrichaceae;D_5__uncultured;D_6__uncultured bacterium JM9_B4"	0.999147587259803
"OTU_3612"	1	1	0	1	2	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rickettsiales;D_4__S25-593"	0.999989374083757
"OTU_3613"	0	2	0	0	0	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Synechococcales;D_4__Cyanobiaceae"	0.874043065664651
"OTU_3614"	13	5	3	11	20	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria"	0.999993107985938
"OTU_3616"	2	6	0	1	7	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ib"	0.97115772761983
"OTU_3618"	2	10	0	1	8	"D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae;D_3__Ardenticatenales;D_4__Ardenticatenaceae;D_5__uncultured;D_6__uncultured bacterium"	0.892461757111842
"OTU_3619"	49	54	0	41	39	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria"	0.916637284444545
"OTU_362"	1	0	0	1	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II"	0.999683080697824
"OTU_3624"	0	2	0	2	2	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rickettsiales;D_4__S25-593"	0.99998600800067
"OTU_3625"	3	11	0	0	8	"D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Pseudomonadaceae;D_5__Pseudomonas"	0.996930622495833
"OTU_3626"	2	17	0	9	16	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Parvibaculales;D_4__OCS116 clade;D_5__marine metagenome;D_6__marine metagenome"	0.881338713732382
"OTU_3627"	0	0	0	3	0	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__NS5 marine group;D_6__metagenome"	0.878786098396277
"OTU_3628"	4	4	0	2	1	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Synechococcales;D_4__Cyanobiaceae"	0.995921335308252
"OTU_3629"	0	6	0	5	2	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Synechococcales;D_4__Cyanobiaceae"	0.972918457740171
"OTU_3632"	4	9	0	9	2	"D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__SAR86 clade"	0.999585401052554
"OTU_3633"	0	1	0	0	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Puniceispirillales;D_4__SAR116 clade;D_5__uncultured alpha proteobacterium EBAC2C11;D_6__uncultured alpha proteobacterium EBAC2C11"	0.958573963143915
"OTU_3634"	0	1	0	0	0	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__NS4 marine group;D_6__uncultured Flavobacteriaceae bacterium"	0.9063786801731
"OTU_3635"	0	1	0	0	0	"D_0__Bacteria;D_1__Marinimicrobia (SAR406 clade)"	0.999956581506863
"OTU_3636"	1	0	0	11	9	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae;D_5__Loktanella"	0.87509456980761
"OTU_3638"	1	4	0	3	5	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II"	0.880060766689839
"OTU_364"	0	3	0	0	0	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__NS2b marine group"	0.999999589640694
"OTU_3643"	0	1	0	0	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ib"	0.990841840165745
"OTU_3645"	1	0	0	0	3	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II"	0.998056621478654
"OTU_3647"	24	26	1	8	3	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria"	0.971478684932553
"OTU_3649"	4	18	0	3	14	"D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae;D_3__Ardenticatenales;D_4__Ardenticatenaceae;D_5__uncultured"	0.998161406870011
"OTU_365"	7	32	0	44	58	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae"	0.997435188755699
"OTU_3650"	0	1	0	0	0	"D_0__Bacteria;D_1__Marinimicrobia (SAR406 clade)"	0.999829521524417
"OTU_3654"	1	1	0	2	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae"	0.97384327041342
"OTU_3655"	0	2	0	0	4	"D_0__Bacteria;D_1__Marinimicrobia (SAR406 clade)"	0.999825304230696
"OTU_3657"	0	0	0	0	1	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast"	0.998557106114103
"OTU_3661"	2	18	1	0	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Puniceispirillales;D_4__SAR116 clade"	0.998583825626979
"OTU_3663"	1	8	0	2	5	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae;D_5__Salinihabitans"	0.950538690384689
"OTU_3666"	8	4	0	8	6	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae"	0.999243013464695
"OTU_3671"	8	13	0	14	10	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__NS5 marine group;D_6__uncultured bacterium HF0010_31F02"	0.999159676074119
"OTU_3672"	11	16	0	0	4	"D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__OM182 clade"	0.999961373090654
"OTU_3673"	13	25	0	7	6	"D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Cellvibrionales;D_4__Halieaceae"	0.950161632183113
"OTU_3675"	3	4	0	2	6	"D_0__Bacteria;D_1__Dadabacteria;D_2__Dadabacteriia;D_3__Dadabacteriales;D_4__metagenome;D_5__metagenome;D_6__metagenome"	0.991486250900955
"OTU_3676"	6	13	0	25	11	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__uncultured"	0.997158318649642
"OTU_3679"	11	16	0	6	14	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II"	0.999889720116286
"OTU_3680"	2	30	0	4	5	"D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Cellvibrionales;D_4__Halieaceae;D_5__OM60(NOR5) clade;D_6__uncultured Haliea sp."	0.925493535200981
"OTU_3682"	19	27	0	28	11	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae;D_5__Silicimonas"	0.877221500203079
"OTU_3684"	2	0	0	2	5	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II"	0.999062606598662
"OTU_3685"	5	12	0	1	1	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rickettsiales;D_4__S25-593;D_5__uncultured alpha proteobacterium;D_6__uncultured alpha proteobacterium"	0.86256387049809
"OTU_3686"	2	17	0	5	3	"D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Cellvibrionales;D_4__Halieaceae"	0.988614914553589
"OTU_3688"	0	0	0	0	2	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II"	0.996169324968759
"OTU_369"	5	21	0	12	10	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ia"	0.916350763193896
"OTU_3690"	2	18	0	6	10	"D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Arctic97B-4 marine group"	0.999993588884226
"OTU_3694"	10	13	0	1	9	"D_0__Bacteria;D_1__Dadabacteria;D_2__Dadabacteriia;D_3__Dadabacteriales;D_4__metagenome;D_5__metagenome;D_6__metagenome"	0.989770712038662
"OTU_3695"	0	0	0	1	0	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__NS4 marine group"	0.99997979722886
"OTU_3696"	0	2	0	1	1	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Synechococcales;D_4__Cyanobiaceae"	0.972307491578125
"OTU_3698"	2	11	0	4	8	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II;D_5__SAR11 cluster bacterium PRT-SC02;D_6__SAR11 cluster bacterium PRT-SC02"	0.973596892943216
"OTU_3699"	0	0	0	0	1	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rickettsiales;D_4__S25-593;D_5__uncultured alpha proteobacterium;D_6__uncultured alpha proteobacterium"	0.827457592513209
"OTU_370"	15	29	0	19	28	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Synechococcales;D_4__Cyanobiaceae;D_5__Prochlorococcus MIT9313"	0.911918260563001
"OTU_3701"	1	25	0	2	2	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast;D_4__Leptocylindrus danicus;D_5__Leptocylindrus danicus;D_6__Leptocylindrus danicus"	0.999483503788377
"OTU_3702"	0	1	0	0	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II"	0.999796747605568
"OTU_3703"	2	3	0	3	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rickettsiales;D_4__S25-593"	0.999653993038835
"OTU_3705"	1	10	0	0	5	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast"	0.999897640744846
"OTU_3706"	0	0	0	0	1	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rickettsiales;D_4__S25-593;D_5__uncultured alpha proteobacterium;D_6__uncultured alpha proteobacterium"	0.80771688585983
"OTU_3707"	13	22	0	4	4	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__NS5 marine group;D_6__bacterium WHC3-2"	0.995760357486365
"OTU_3708"	2	6	0	4	5	"D_0__Bacteria"	0.999828819044604
"OTU_371"	0	2	0	0	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ia"	0.92086275489894
"OTU_3710"	0	0	0	0	1	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria"	0.961508804078953
"OTU_3712"	3	7	0	17	8	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia"	0.833453447123147
"OTU_3714"	8	11	0	6	0	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast;D_4__bacterium WHC4-8;D_5__bacterium WHC4-8;D_6__bacterium WHC4-8"	0.998627712208084
"OTU_3716"	24	53	0	1	0	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__uncultured;D_6__uncultured Flavobacteriales bacterium"	0.930981052303467
"OTU_3718"	12	28	0	1	3	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Puniceispirillales;D_4__uncultured;D_5__uncultured alpha proteobacterium;D_6__uncultured alpha proteobacterium"	0.994812552491743
"OTU_3719"	1	3	0	0	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II"	0.999369721094433
"OTU_3720"	16	29	0	22	28	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__Winogradskyella;D_6__Winogradskyella sp. PC-8"	0.998110095343346
"OTU_3722"	1	8	0	1	6	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae"	0.990808763076634
"OTU_3723"	4	8	0	2	13	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Parvibaculales;D_4__OCS116 clade"	0.999999916062734
"OTU_3729"	3	14	0	5	24	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ia"	0.876910252111924
"OTU_373"	48	60	0	29	0	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Synechococcales;D_4__Cyanobiaceae;D_5__Synechococcus CC9902"	0.887211531686041
"OTU_3730"	0	0	0	2	1	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II"	0.999893374783261
"OTU_3732"	0	3	0	15	4	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Cyclobacteriaceae;D_5__Fulvivirga;D_6__uncultured Bacteroidetes bacterium"	0.971410542132767
"OTU_3734"	3	7	0	13	1	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae"	0.994193597352924
"OTU_3736"	13	41	0	135	83	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast"	0.999999845265671
"OTU_3740"	0	8	0	4	2	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ia"	0.922902603061023
"OTU_3742"	3	27	0	6	14	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast"	0.93445377581161
"OTU_3743"	2	74	0	2	24	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast"	0.90597058202879
"OTU_3745"	0	2	0	1	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II"	0.999676652350074
"OTU_375"	181	512	2	197	142	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast"	0.999999975397124
"OTU_3750"	2	5	0	14	23	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae;D_5__Erythrobacter"	0.805430470320707
"OTU_3753"	0	1	0	0	0	"D_0__Bacteria;D_1__Margulisbacteria"	0.848542127413664
"OTU_3758"	1	0	0	0	1	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II"	0.999477785723655
"OTU_376"	43	82	0	59	115	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__NS4 marine group"	0.999996446955755
"OTU_3760"	0	1	0	0	0	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales"	0.992021597624301
"OTU_3763"	0	20	1	4	12	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ia"	0.821706607440941
"OTU_3764"	0	5	0	1	4	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ib"	0.988055688582905
"OTU_3766"	6	11	0	8	28	"D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Opitutales;D_4__Puniceicoccaceae;D_5__Lentimonas;D_6__uncultured Puniceicoccaceae bacterium"	0.943727551397443
"OTU_3768"	5	17	0	14	28	"D_0__Bacteria"	0.999786960166273
"OTU_377"	24	60	0	71	99	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast;D_4__environmental clone OCS182;D_5__environmental clone OCS182;D_6__environmental clone OCS182"	0.825646189783943
"OTU_3770"	0	8	0	7	6	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae"	0.994279726579083
"OTU_3771"	2	8	0	10	4	"D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Opitutales;D_4__Puniceicoccaceae;D_5__Lentimonas;D_6__seawater metagenome"	0.95965864920403
"OTU_3776"	0	15	0	0	1	"D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Alteromonadales;D_4__Alteromonadaceae;D_5__uncultured;D_6__uncultured marine microorganism"	0.997841688939888
"OTU_3777"	5	20	0	5	15	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II"	0.999453977050154
"OTU_3778"	7	3	0	6	3	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae"	0.999535890652473
"OTU_3779"	4	17	0	67	28	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast"	0.99999363469889
"OTU_378"	2	13	0	12	14	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ia"	0.954441873025141
"OTU_3781"	0	15	0	12	4	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast"	0.846610359125379
